id	name	phone	email	city	year
1	이사부	010-3387-9575	mbf@korea.org	부산	1947
2	김유신	010-9112-1500	cwl@korea.com	서울	1997
3	장보고	010-8131-5317	zin@korea.org	부산	1965
4	대조영	010-5464-2556	djv@korea.org	인천	1979
5	강감찬	010-1486-9277	aag@korea.org	부산	1972
6	정중부	010-9720-7531	mjg@korea.org	인천	1946
7	최무선	010-7374-6352	umi@korea.edu	서울	1904
8	김부식	010-7707-1418	tgn@korea.edu	부산	1956
9	정몽주	010-3477-7832	yvx@korea.edu	부산	1990
10	문익점	010-8014-1656	nxd@korea.org	부산	1948
11	이종무	010-4908-1555	qsw@korea.com	부산	1925
12	맹사성	010-8043-5662	wct@korea.org	서울	1963
13	장영실	010-7971-1127	sek@korea.org	서울	1941
14	신숙주	010-7171-8450	unq@korea.com	서울	1932
15	한명회	010-3240-5369	iqd@korea.edu	서울	1951
16	신인선	010-1330-7958	hbz@korea.org	인천	1965
17	곽재우	010-2859-9459	mdz@korea.edu	부산	1920
18	김시민	010-2547-7338	zff@korea.org	부산	1926
19	이순신	010-5259-8179	soz@korea.edu	인천	1989
20	홍길동	010-9581-7454	ysz@korea.org	서울	1916
